Price,Close,High,Low,Open,Volume
Ticker,VOO,VOO,VOO,VOO,VOO
Date,,,,,
2015-12-08,158.23414611816406,159.0598072017603,157.35011189928238,157.8338313772278,1721700
2015-12-09,157.0498809814453,159.56021862455054,156.12414434502057,157.72541611936504,4500300
2015-12-10,157.4085235595703,158.6094679792137,156.87476624224715,157.20835979340728,4083800
2015-12-11,154.27264404296875,156.08241462802533,154.08082844222508,155.49028433527656,3084400
2015-12-14,155.19837951660156,155.19837951660156,152.87987065478396,154.55621148221417,2722600
2015-12-15,156.81637573242188,157.5919991683019,156.3993774429189,156.58285770836244,3799300
2015-12-16,159.0181121826172,159.36005380407158,156.5411415431262,157.85885754895935,6361700
2015-12-17,156.69961547851562,159.4267878334694,156.64124233585233,159.4101043388037,3096000
2015-12-18,153.78897094726562,156.02408849623606,153.78897094726562,155.9156648638737,4531400
2015-12-21,155.1497344970703,155.26720184358595,153.9248532144517,154.99034195876754,2168400
2015-12-22,156.55088806152344,156.79418230048927,155.0407483667272,155.92166425549095,2423300
2015-12-23,158.4301300048828,158.5140316162391,157.3646537898717,157.51566132840674,2275500
2015-12-24,158.15322875976562,158.7069485263432,158.01060629896568,158.30424906046187,1170800
2015-12-28,157.80929565429688,157.87640157785594,156.88642918551167,157.59955443880824,2668300
2015-12-29,159.5711212158203,159.8311982862339,158.84961089067855,158.92511465920086,1757100
2015-12-30,158.3965606689453,159.3949308535831,158.28749114577363,159.37814797272887,2535800
2015-12-31,156.82766723632812,158.36297419319666,156.82766723632812,157.82603729037808,2395200
2016-01-04,154.62960815429688,154.63800599574233,152.75872013898183,154.176572771807,4193500
2016-01-05,154.9064483642578,155.30914785314908,153.89129540086054,154.84772748955444,2882500
2016-01-06,152.94326782226562,153.84935123713336,152.01201649045035,152.63284217727025,2755100
2016-01-07,149.21829223632812,151.8526414151124,148.91626437117378,150.30055128553823,4952500
2016-01-08,147.63262939453125,150.61934188283846,147.36415452738234,150.14952366691412,7357300
2016-01-11,147.64942932128906,148.7652541137323,146.0302204956155,148.53033217706047,4493300
2016-01-12,148.8743133544922,149.63777445720564,147.03697824422946,149.12600537535891,2998800
2016-01-13,145.2332000732422,149.87267449001013,144.90600430647223,149.69648624563223,4125700
2016-01-14,147.59066772460938,148.64775863257236,144.35226348729194,145.80366882634274,5081400
2016-01-15,144.42779541015625,145.19125650451247,142.70792768983415,143.63078135412616,8087300
2016-01-19,144.58717346191406,146.22315206813914,143.22805474314023,146.14764831744847,5863300
2016-01-20,142.89254760742188,144.20133116673964,139.2346591152197,142.28009384314237,8577600
2016-01-21,143.5888214111328,145.2583659834682,142.06191212119896,143.28679356894116,3004600
2016-01-22,146.5335693359375,146.70135970618688,145.29189243260586,146.00501750814652,2611700
2016-01-25,144.3606414794922,146.25669682243307,144.1592853716466,146.0637385534041,2756400
2016-01-26,146.31546020507812,146.53359925236396,144.62914551717773,145.0150749689692,2263700
2016-01-27,144.654296875,147.33898144445786,143.88245086138,145.88757604936728,3543000
2016-01-28,145.44293212890625,146.2735118545786,144.00829674848788,146.08893858220696,2616400
2016-01-29,149.12606811523438,149.12606811523438,146.04706728865253,146.26519363765956,4453100
2016-02-01,148.9917449951172,149.6629193469429,147.58229037771056,148.16956313496334,3923200
2016-02-02,146.29025268554688,147.7332728165448,145.81204952207014,147.5403145436741,5101200
